City_ID,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temp,Wind Speed
162,IT,1584214555,45.17,10.78,40,70,52.0,3.36
163,CN,1584214799,30.43,116.29,0,66,47.75,3.58
164,US,1584214794,39.18,-84.53,90,93,39.99,6.93
165,SB,1584214799,-8.14,159.59,100,85,81.59,9.4
166,CA,1584214799,55.1,-105.28,90,59,3.2,4.7
167,RU,1584214799,56.35,41.0,100,90,27.45,14.47
168,PF,1584214799,-16.48,-151.75,0,77,82.85,15.75
169,AU,1584214800,-23.13,150.73,40,68,71.6,6.93
170,RU,1584214800,66.66,66.42,37,83,1.17,4.18
171,GA,1584214680,-3.43,10.66,100,82,83.93,4.74
172,GF,1584214475,5.38,-52.95,65,75,80.33,14.14
173,NE,1584214651,18.74,7.39,0,11,75.11,8.34
174,RU,1584214800,63.05,179.32,0,87,15.39,6.89
175,IS,1584214117,66.04,-17.34,40,78,15.8,4.7
176,CA,1584214801,62.46,-114.35,75,54,3.99,12.75
177,CA,1584214735,50.23,-63.6,90,86,26.6,23.04
178,US,1584214511,57.79,-152.41,1,68,28.4,6.93
179,MX,1584214532,27.98,-114.06,0,55,67.37,11.14
180,IN,1584214762,24.78,85.0,75,93,62.6,6.64
181,FO,1584214801,62.16,-7.17,100,74,35.6,12.75
182,PE,1584214801,-4.27,-81.21,100,100,62.6,12.75
183,NZ,1584214801,-42.72,170.97,29,82,56.43,6.22
184,AU,1584214802,-13.85,136.42,40,100,75.2,4.7
185,MX,1584214802,19.22,-104.7,40,74,86.0,11.41
186,ID,1584214802,-0.91,122.88,59,74,81.23,6.93
187,RU,1584214802,67.63,134.63,60,93,-29.25,3.38
188,RU,1584214802,54.72,135.31,0,82,-1.89,5.28
189,AU,1584214802,-23.58,148.88,0,73,68.31,10.98
190,ZW,1584214803,-20.15,28.58,7,81,66.47,4.9
191,US,1584214668,57.05,-135.33,1,59,35.6,5.14
192,LV,1584214803,56.39,28.12,25,70,24.03,9.06
193,BR,1584214305,-24.79,-50.01,0,64,72.05,1.92
194,NP,1584214803,28.23,83.98,100,86,54.63,1.74
195,BR,1584214803,-19.76,-44.31,40,48,86.0,11.41
196,JP,1584214804,35.13,140.3,75,75,41.0,5.82
197,NA,1584214804,-26.65,15.16,0,77,68.0,16.11
198,PG,1584214804,-4.24,142.84,100,97,73.53,1.83
199,SS,1584214804,8.46,25.68,2,20,77.31,6.15
200,GB,1584214804,58.21,-6.39,58,87,46.4,23.04
201,MX,1584214789,22.89,-109.91,5,54,80.6,13.87
202,GB,1584214805,52.06,-1.34,75,81,51.01,12.75
203,MU,1584214805,-19.98,57.61,40,94,77.0,1.12
204,BS,1584214805,26.54,-77.06,5,76,74.97,10.25
205,PE,1584214805,-4.84,-80.65,83,43,89.73,20.96
206,ID,1584214805,0.8,127.4,100,92,70.43,4.56
207,CN,1584214806,33.23,105.02,0,64,50.0,1.66
208,RU,1584214806,66.56,67.8,65,86,0.99,13.73
209,RU,1584214806,50.28,113.29,91,94,11.75,1.5
210,CA,1584214761,70.47,-68.59,5,61,-18.4,3.36
211,RU,1584214806,62.17,49.09,0,93,13.05,6.35
212,CN,1584214806,43.65,111.98,0,57,31.59,8.14
213,AO,1584214806,-11.55,20.78,96,92,68.13,3.65
214,ML,1584214807,20.2,1.01,72,11,77.31,9.6
215,RU,1584214807,63.86,57.31,93,97,23.49,5.28
216,TR,1584214807,37.51,34.05,0,69,51.03,2.71
217,IN,1584214760,29.98,75.38,0,88,51.21,4.56
218,ZA,1584214807,-28.78,32.04,1,87,77.63,7.7
219,RU,1584214807,57.98,61.67,55,93,29.07,5.86
220,RU,1584214807,59.18,61.86,0,89,28.49,7.99
221,EG,1584214808,27.18,31.18,0,69,61.11,3.6
222,ID,1584214808,-3.33,128.92,83,74,81.27,9.48
223,FO,1584214456,62.23,-6.59,100,74,35.6,12.75
224,US,1584214808,19.73,-155.09,90,83,73.4,3.36
225,CN,1584214808,38.51,115.0,0,30,42.8,6.71
226,US,1584214809,40.6,-124.16,90,93,46.99,10.29
227,US,1584214809,44.29,-105.5,90,92,30.99,23.04
228,IL,1584214809,31.61,34.76,40,87,60.8,5.82
229,US,1584214809,38.04,-84.9,90,86,39.99,10.29
230,MA,1584214807,31.63,-8.01,75,56,68.0,6.93
231,TR,1584214604,40.23,27.24,100,87,53.6,14.99
232,PW,1584214809,7.04,134.26,75,88,75.2,11.07
233,CA,1584214810,55.07,-117.29,79,75,5.49,4.34
234,AU,1584214810,-34.58,150.86,98,62,59.0,11.41
235,US,1584214810,34.88,-76.9,1,31,69.01,12.75
236,IN,1584214529,11.67,92.75,29,68,82.13,5.99
237,CD,1584214810,2.77,27.62,100,95,71.15,2.84
238,BR,1584214810,-9.45,-46.3,100,92,73.35,3.47
239,KZ,1584214810,43.3,52.8,100,50,55.53,12.24
240,LK,1584214811,6.12,81.12,20,88,78.8,2.24
241,PT,1584214732,37.72,-25.43,20,72,60.8,13.87
242,MU,1584214484,-20.34,57.76,40,94,77.0,1.12
243,AU,1584214811,-37.88,147.98,0,94,43.0,9.48
244,JP,1584214506,34.69,135.8,90,65,44.6,20.8
